,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_MAN_AT_ARMS,UNIT_LINE_INFANTRY,UNIT_TREBUCHET,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_AMERICAN_ROUGH_RIDER,UNIT_MAYAN_HULCHE,UNIT_LAHORE_NIHANG,UNIT_COMANDANTE_GENERAL,UNIT_COLOMBIAN_LLANERO,UNIT_BYZANTINE_DROMON,UNIT_BYZANTINE_TAGMA,UNIT_GAUL_GAESATAE,UNIT_VIETNAMESE_VOI_CHIEN,UNIT_ETHIOPIAN_OROMO_CAVALRY,UNIT_BABYLONIAN_SABUM_KIBITTUM,UNIT_PORTUGUESE_NAU
UNIT_AZTEC_EAGLE_WARRIOR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.39, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.08, 1.86, 2.47, 1.86, 1.85, 0.88, 0.88, 0.59, 0.74, 1.53, 1.00, 100.00, 1.20, 0.59, 0.54, 0.84, 0.39, 0.45, 0.54, 100.00, 0.84, 0.38, 0.21, 0.20, 0.18, 0.39, 0.18, 0.27, 0.27, 100.00, 0.32, 0.11, 0.09, 0.11, 0.13, 0.09, 0.13, 0.12, 0.07, 0.08, 0.07, 0.06, 0.06, 100.00, 0.06, 0.09, 100.00, 0.02, 0.05, 0.04, 0.04, 0.03, 0.03, 0.03, 0.05, 0.03, 0.01, 0.01, 0.01, 82.58, 0.03, 0.07, 0.03, 0.03, 0.02, 0.03, 0.03, 82.58, 0.00, 0.01, 0.02, 0.03, 0.02, 0.26, 0.07, 0.27, 1.00, 0.09, 0.19, 0.07, 0.61, 0.45, 0.54, 0.40, 0.04, 0.32, 0.08, 0.07, 0.07, 0.19, 0.21, 0.11, 1.86, 0.04, 100.00, 0.14, 100.00, 0.76, 0.24, 0.07, 0.01, 100.00, 0.08, 0.19, 0.07, 0.58, 0.11, 0.45, 0.13, 0.59, 0.09, 0.08, 0.07, 0.69, 1.26, 100.00, 0.08, 0.70, 0.18, 1.28, 0.21, 0.21, 2.30, 0.11
UNIT_INDONESIAN_JONG, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.61, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 18.19, 21.00, 16.39, 20.00, 7.88, 7.88, 5.52, 15.29, 13.27, 11.08, 100.00, 11.08, 6.62, 5.05, 14.29, 4.50, 5.20, 5.84, 100.00, 7.14, 10.71, 2.60, 2.29, 1.70, 4.50, 1.70, 6.95, 5.01, 100.00, 3.21, 1.63, 1.35, 1.13, 1.44, 1.00, 1.50, 1.22, 1.64, 0.65, 0.45, 0.66, 0.63, 100.00, 0.35, 1.57, 100.00, 0.11, 0.46, 0.50, 0.31, 0.17, 0.20, 0.20, 0.46, 0.15, 0.05, 0.05, 0.07, 131.92, 0.40, 0.51, 0.15, 0.15, 0.11, 0.15, 0.17, 130.61, 0.03, 0.06, 0.14, 0.15, 0.10, 3.21, 0.85, 2.86, 11.08, 1.00, 1.50, 0.55, 11.11, 5.20, 5.05, 5.52, 0.44, 3.21, 1.57, 1.05, 0.66, 4.41, 2.60, 1.13, 16.39, 0.73, 100.00, 1.63, 100.00, 11.11, 2.32, 0.55, 0.03, 100.00, 0.65, 1.82, 0.51, 7.69, 1.13, 5.20, 1.50, 5.52, 1.20, 0.55, 0.45, 12.50, 13.27, 100.00, 0.65, 5.00, 1.70, 10.61, 5.09, 1.94, 19.10, 1.13
UNIT_KHMER_DOMREY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.77, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 19.09, 9.47, 9.09, 8.31, 6.74, 3.90, 5.52, 3.61, 4.20, 6.54, 5.27, 100.00, 5.27, 3.20, 2.39, 2.94, 2.29, 2.61, 3.56, 100.00, 5.72, 2.05, 1.34, 1.05, 0.79, 2.29, 0.79, 1.47, 1.11, 100.00, 1.66, 0.86, 0.68, 0.78, 0.87, 0.66, 1.00, 0.81, 0.38, 0.32, 0.21, 0.32, 0.32, 100.00, 0.23, 0.29, 100.00, 0.07, 0.28, 0.23, 0.17, 0.12, 0.17, 0.17, 0.28, 0.09, 0.04, 0.04, 0.05, 131.92, 0.14, 0.35, 0.13, 0.09, 0.09, 0.09, 0.06, 130.61, 0.03, 0.04, 0.10, 0.09, 0.06, 1.66, 0.45, 1.75, 5.27, 0.66, 1.00, 0.27, 1.79, 2.61, 2.39, 1.56, 0.24, 1.66, 0.24, 0.19, 0.35, 0.61, 1.34, 0.55, 8.31, 0.11, 100.00, 0.86, 100.00, 2.50, 1.10, 0.27, 0.02, 100.00, 0.32, 0.86, 0.25, 1.66, 0.55, 2.61, 0.69, 3.61, 0.60, 0.27, 0.21, 1.99, 6.54, 100.00, 0.32, 2.00, 0.79, 5.64, 0.73, 0.95, 10.88, 0.78
UNIT_POLISH_HUSSAR, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 6.42, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 20.00, 14.29, 20.00, 12.50, 12.50, 12.50, 9.34, 9.09, 11.40, 14.28, 100.00, 10.23, 9.34, 9.01, 8.33, 6.42, 7.55, 8.33, 100.00, 8.33, 5.88, 3.51, 3.46, 3.05, 6.42, 3.05, 5.00, 4.00, 100.00, 3.03, 2.05, 1.59, 2.05, 2.52, 1.80, 2.66, 2.33, 1.21, 1.14, 0.79, 0.62, 0.63, 100.00, 0.63, 1.57, 100.00, 0.13, 0.43, 0.63, 0.55, 0.25, 0.38, 0.38, 0.29, 0.19, 0.03, 0.03, 0.05, 82.58, 0.22, 0.93, 0.19, 0.18, 0.13, 0.19, 0.23, 82.58, 0.02, 0.04, 0.15, 0.13, 0.09, 4.50, 0.93, 5.47, 14.28, 1.80, 3.67, 1.00, 7.69, 7.55, 9.01, 9.34, 0.33, 3.03, 1.57, 1.08, 1.21, 3.88, 3.51, 2.05, 20.00, 0.61, 100.00, 1.38, 100.00, 7.69, 4.08, 1.00, 0.02, 100.00, 1.14, 3.17, 0.93, 5.88, 2.05, 7.55, 2.66, 9.34, 1.35, 0.67, 0.79, 9.09, 14.28, 100.00, 1.14, 7.14, 3.05, 15.38, 4.23, 3.51, 14.17, 2.05
UNIT_NUBIAN_PITATI, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.43, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.58, 2.80, 3.66, 2.09, 2.36, 0.96, 0.66, 0.46, 1.86, 1.99, 1.65, 100.00, 1.65, 1.05, 0.60, 1.07, 0.75, 0.86, 1.52, 100.00, 0.56, 0.95, 0.48, 0.56, 0.22, 0.75, 0.22, 0.70, 0.60, 100.00, 0.57, 0.36, 0.32, 0.13, 0.42, 0.09, 0.10, 0.10, 0.28, 0.14, 0.11, 0.24, 0.20, 100.00, 0.07, 0.17, 100.00, 0.04, 0.16, 0.18, 0.05, 0.03, 0.04, 0.04, 0.16, 0.05, 0.02, 0.02, 0.03, 131.92, 0.12, 0.09, 0.04, 0.05, 0.02, 0.05, 0.05, 130.61, 0.01, 0.02, 0.03, 0.05, 0.03, 0.57, 0.26, 0.79, 1.65, 0.09, 0.55, 0.13, 1.00, 0.86, 0.60, 0.65, 0.16, 0.57, 0.17, 0.14, 0.07, 0.28, 0.48, 0.18, 2.09, 0.09, 100.00, 0.36, 100.00, 0.88, 0.28, 0.13, 0.02, 100.00, 0.14, 0.23, 0.13, 0.59, 0.18, 0.86, 0.10, 0.46, 0.30, 0.13, 0.11, 1.17, 1.99, 100.00, 0.14, 0.55, 0.22, 3.66, 0.34, 0.24, 2.66, 0.13
UNIT_MACEDONIAN_HYPASPIST, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.88, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 9.01, 4.08, 5.00, 4.08, 4.09, 1.86, 1.86, 1.26, 1.42, 3.37, 2.20, 100.00, 2.64, 1.26, 1.14, 1.85, 0.88, 1.00, 1.04, 100.00, 1.85, 0.74, 0.45, 0.46, 0.39, 0.88, 0.39, 0.54, 0.58, 100.00, 0.71, 0.26, 0.21, 0.26, 0.27, 0.19, 0.27, 0.24, 0.13, 0.15, 0.11, 0.11, 0.09, 100.00, 0.09, 0.21, 100.00, 0.02, 0.07, 0.07, 0.07, 0.04, 0.05, 0.05, 0.08, 0.05, 0.01, 0.01, 0.02, 82.58, 0.04, 0.11, 0.05, 0.05, 0.03, 0.05, 0.04, 82.58, 0.01, 0.02, 0.03, 0.05, 0.03, 0.59, 0.11, 0.54, 2.20, 0.19, 0.38, 0.13, 1.16, 1.00, 1.14, 0.75, 0.06, 0.71, 0.17, 0.14, 0.13, 0.38, 0.45, 0.26, 4.08, 0.07, 100.00, 0.32, 100.00, 1.65, 0.54, 0.13, 0.01, 100.00, 0.15, 0.43, 0.11, 1.30, 0.26, 1.00, 0.27, 1.26, 0.18, 0.16, 0.11, 1.33, 2.78, 100.00, 0.15, 1.28, 0.39, 2.76, 0.43, 0.45, 5.23, 0.26
UNIT_MACEDONIAN_HETAIROI, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.74, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.55, 3.51, 4.54, 3.51, 3.46, 1.59, 1.59, 1.07, 2.06, 1.57, 1.86, 100.00, 1.28, 1.07, 1.00, 1.55, 0.74, 0.88, 1.31, 100.00, 1.55, 0.94, 0.39, 0.39, 0.32, 0.74, 0.32, 0.64, 0.50, 100.00, 0.33, 0.22, 0.18, 0.22, 0.28, 0.20, 0.30, 0.26, 0.13, 0.13, 0.09, 0.09, 0.08, 100.00, 0.08, 0.17, 100.00, 0.02, 0.07, 0.07, 0.07, 0.04, 0.05, 0.05, 0.05, 0.04, 0.01, 0.01, 0.02, 82.58, 0.04, 0.11, 0.04, 0.04, 0.02, 0.04, 0.04, 82.58, 0.01, 0.02, 0.03, 0.03, 0.03, 0.48, 0.11, 0.61, 1.86, 0.20, 0.42, 0.11, 1.66, 0.88, 1.00, 1.07, 0.06, 0.33, 0.17, 0.11, 0.13, 0.43, 0.39, 0.22, 3.51, 0.07, 100.00, 0.15, 100.00, 1.40, 0.45, 0.11, 0.01, 100.00, 0.13, 0.36, 0.11, 1.09, 0.22, 0.88, 0.30, 1.07, 0.15, 0.09, 0.09, 1.94, 2.30, 100.00, 0.13, 2.07, 0.32, 2.35, 0.48, 0.39, 2.26, 0.22
UNIT_PERSIAN_IMMORTAL, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.69, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.27, 4.25, 5.20, 3.17, 3.20, 1.44, 1.44, 1.00, 2.60, 3.63, 2.47, 100.00, 2.94, 1.60, 0.93, 1.46, 1.19, 1.33, 1.70, 100.00, 1.46, 1.32, 0.72, 0.75, 0.31, 1.19, 0.31, 0.95, 0.81, 100.00, 1.01, 0.49, 0.40, 0.21, 0.45, 0.18, 0.28, 0.24, 0.30, 0.11, 0.09, 0.25, 0.24, 100.00, 0.08, 0.16, 100.00, 0.02, 0.18, 0.17, 0.05, 0.04, 0.04, 0.04, 0.21, 0.04, 0.01, 0.01, 0.02, 84.23, 0.12, 0.09, 0.04, 0.04, 0.02, 0.04, 0.04, 82.58, 0.01, 0.01, 0.03, 0.04, 0.03, 0.85, 0.27, 0.86, 2.47, 0.18, 0.64, 0.11, 1.53, 1.33, 0.93, 1.00, 0.18, 1.01, 0.13, 0.11, 0.11, 0.31, 0.72, 0.21, 3.17, 0.05, 100.00, 0.57, 100.00, 1.28, 0.43, 0.11, 0.01, 100.00, 0.11, 0.32, 0.09, 1.02, 0.21, 1.33, 0.22, 1.00, 0.36, 0.13, 0.09, 1.07, 3.09, 100.00, 0.11, 1.08, 0.31, 3.04, 0.35, 0.36, 4.08, 0.21
UNIT_DIGGER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.28, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 40.00, 28.57, 25.00, 28.57, 20.00, 20.00, 20.00, 16.66, 7.14, 25.00, 25.00, 100.00, 25.00, 16.66, 16.66, 12.50, 14.28, 15.38, 8.33, 100.00, 12.50, 5.00, 9.48, 7.00, 8.71, 14.28, 8.71, 4.16, 6.25, 100.00, 11.94, 6.06, 4.79, 6.06, 3.33, 2.27, 2.78, 2.38, 1.92, 3.46, 2.35, 1.90, 1.87, 100.00, 1.87, 4.00, 100.00, 0.34, 1.28, 1.33, 1.09, 0.58, 0.80, 0.80, 1.56, 0.59, 0.08, 0.07, 0.12, 55.05, 0.50, 2.76, 0.59, 0.54, 0.34, 0.59, 0.54, 55.05, 0.04, 0.06, 0.36, 0.70, 0.27, 11.23, 2.76, 5.00, 25.00, 2.27, 4.16, 3.03, 6.25, 15.38, 16.66, 5.55, 1.00, 11.94, 2.00, 3.33, 1.92, 3.33, 9.48, 6.06, 28.57, 1.25, 100.00, 7.00, 100.00, 11.11, 10.98, 3.03, 0.04, 100.00, 3.46, 8.89, 2.76, 9.09, 6.06, 15.38, 2.78, 16.66, 4.14, 3.64, 2.35, 7.14, 25.00, 100.00, 3.46, 5.55, 8.71, 22.22, 3.84, 9.48, 40.00, 6.06
UNIT_ZULU_IMPI, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.44, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 12.50, 5.85, 6.66, 9.48, 7.14, 3.17, 3.17, 2.20, 2.14, 4.73, 5.79, 100.00, 3.88, 1.77, 3.03, 4.54, 1.20, 1.39, 1.66, 100.00, 3.20, 1.70, 0.65, 0.64, 1.00, 2.14, 1.00, 0.83, 1.02, 100.00, 1.00, 0.38, 0.29, 0.45, 0.43, 0.31, 0.43, 0.38, 0.22, 0.39, 0.27, 0.15, 0.11, 100.00, 0.14, 0.36, 100.00, 0.03, 0.08, 0.13, 0.11, 0.05, 0.07, 0.07, 0.09, 0.07, 0.01, 0.01, 0.02, 82.58, 0.05, 0.21, 0.06, 0.07, 0.04, 0.05, 0.05, 82.58, 0.01, 0.02, 0.04, 0.06, 0.05, 0.83, 0.17, 0.87, 3.12, 0.31, 0.60, 0.33, 1.75, 1.39, 3.03, 0.98, 0.08, 1.00, 0.27, 0.24, 0.22, 0.90, 0.65, 0.67, 7.27, 0.12, 100.00, 0.45, 100.00, 2.86, 1.38, 0.33, 0.01, 100.00, 0.39, 1.08, 0.30, 2.22, 0.67, 1.39, 0.43, 2.20, 0.26, 0.22, 0.27, 2.05, 3.87, 100.00, 0.39, 1.79, 1.00, 4.00, 0.68, 1.16, 7.45, 0.45
UNIT_KOREAN_HWACHA, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.09, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 25.00, 18.19, 12.11, 16.39, 11.11, 8.90, 6.12, 4.25, 8.14, 13.53, 12.11, 100.00, 12.11, 7.45, 5.72, 7.14, 5.12, 5.90, 11.00, 100.00, 5.30, 6.00, 2.95, 2.68, 1.91, 5.12, 1.91, 4.86, 3.68, 100.00, 3.64, 1.83, 1.50, 0.88, 2.89, 0.63, 0.95, 0.77, 1.25, 0.74, 0.50, 0.76, 0.70, 100.00, 0.26, 1.00, 100.00, 0.11, 0.53, 0.79, 0.16, 0.09, 0.13, 0.13, 0.53, 0.17, 0.05, 0.05, 0.07, 131.92, 0.40, 0.41, 0.12, 0.17, 0.07, 0.17, 0.16, 130.61, 0.04, 0.05, 0.08, 0.17, 0.12, 3.64, 0.98, 6.13, 12.11, 0.63, 4.14, 0.63, 5.88, 5.90, 5.72, 7.45, 0.50, 3.64, 1.00, 0.66, 0.34, 1.48, 2.95, 1.27, 16.39, 0.35, 100.00, 1.83, 100.00, 5.88, 2.61, 0.63, 0.03, 100.00, 0.74, 2.06, 0.59, 4.00, 1.27, 5.90, 0.70, 4.25, 1.34, 0.63, 0.50, 3.33, 13.53, 100.00, 0.74, 2.50, 1.91, 10.61, 1.78, 2.20, 19.10, 0.88
UNIT_SCOTTISH_HIGHLANDER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 6.21, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 22.04, 12.50, 22.04, 12.50, 11.87, 9.09, 6.12, 9.09, 16.39, 13.21, 100.00, 13.21, 8.90, 8.55, 9.09, 6.21, 7.05, 11.11, 100.00, 8.19, 5.88, 3.21, 2.63, 2.80, 6.21, 2.80, 5.00, 3.33, 100.00, 4.09, 1.91, 1.49, 1.33, 3.48, 0.95, 1.36, 1.14, 1.22, 1.10, 0.74, 0.46, 0.59, 100.00, 0.41, 1.50, 100.00, 0.18, 0.39, 0.72, 0.24, 0.12, 0.19, 0.19, 0.39, 0.22, 0.07, 0.07, 0.10, 130.61, 0.25, 0.59, 0.15, 0.20, 0.09, 0.22, 0.20, 130.61, 0.04, 0.07, 0.09, 0.22, 0.14, 4.09, 0.87, 7.48, 13.21, 0.95, 5.33, 0.92, 7.14, 7.05, 8.55, 8.90, 0.30, 4.09, 1.50, 1.00, 0.63, 3.89, 3.21, 1.91, 22.04, 0.66, 100.00, 1.91, 100.00, 7.14, 3.77, 0.92, 0.03, 100.00, 1.10, 3.00, 0.87, 5.00, 1.91, 7.05, 1.36, 6.12, 1.27, 0.92, 0.74, 7.69, 16.39, 100.00, 1.10, 5.88, 2.80, 11.87, 4.86, 3.21, 25.00, 1.33
UNIT_DE_ZEVEN_PROVINCIEN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 5.52, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 33.33, 24.03, 26.00, 22.04, 25.00, 11.64, 11.64, 7.88, 17.66, 18.19, 14.93, 100.00, 14.93, 9.22, 7.60, 16.66, 6.62, 7.45, 6.88, 100.00, 9.09, 12.11, 3.66, 3.20, 2.47, 6.62, 2.47, 10.71, 7.46, 100.00, 4.50, 2.30, 1.86, 1.70, 2.04, 1.50, 2.20, 1.84, 2.36, 0.98, 0.65, 0.79, 0.85, 100.00, 0.51, 2.35, 100.00, 0.15, 0.63, 0.61, 0.45, 0.20, 0.31, 0.31, 0.63, 0.19, 0.05, 0.05, 0.08, 131.92, 0.53, 0.78, 0.19, 0.18, 0.14, 0.19, 0.20, 130.61, 0.04, 0.06, 0.17, 0.19, 0.13, 4.50, 1.20, 4.00, 14.93, 1.50, 2.86, 0.82, 14.29, 7.45, 7.60, 9.22, 0.52, 4.50, 2.89, 1.57, 1.00, 6.15, 3.66, 1.70, 22.04, 1.07, 100.00, 2.30, 100.00, 14.29, 3.34, 0.82, 0.03, 100.00, 0.98, 2.66, 0.78, 10.00, 1.70, 7.45, 2.20, 7.88, 1.63, 0.82, 0.65, 14.29, 18.19, 100.00, 0.98, 5.88, 2.47, 13.53, 8.00, 2.86, 25.00, 1.70
UNIT_MONGOLIAN_KESHIG, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.70, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 16.39, 9.22, 8.14, 7.88, 7.14, 3.61, 2.56, 1.77, 5.84, 4.17, 5.20, 100.00, 3.35, 3.21, 2.32, 4.00, 2.30, 2.60, 5.07, 100.00, 2.05, 2.86, 1.35, 1.20, 0.78, 2.30, 0.78, 2.04, 1.54, 100.00, 1.11, 0.85, 0.70, 0.36, 1.18, 0.23, 0.35, 0.29, 0.56, 0.29, 0.22, 0.44, 0.38, 100.00, 0.14, 0.38, 100.00, 0.07, 0.30, 0.36, 0.09, 0.06, 0.07, 0.07, 0.26, 0.10, 0.03, 0.03, 0.05, 131.92, 0.22, 0.16, 0.07, 0.10, 0.04, 0.10, 0.11, 130.61, 0.02, 0.04, 0.05, 0.09, 0.07, 1.63, 0.46, 2.36, 5.20, 0.23, 1.64, 0.26, 3.61, 2.60, 2.32, 3.21, 0.30, 1.11, 0.67, 0.25, 0.16, 1.00, 1.35, 0.51, 7.88, 0.17, 100.00, 0.59, 100.00, 3.20, 1.06, 0.26, 0.02, 100.00, 0.29, 0.82, 0.23, 2.22, 0.51, 2.60, 0.35, 1.77, 0.63, 0.21, 0.22, 4.23, 6.62, 100.00, 0.29, 2.04, 0.78, 5.82, 1.22, 0.90, 10.09, 0.36
UNIT_GEORGIAN_KHEVSURETI, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.86, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.28, 9.01, 7.14, 9.01, 6.66, 4.08, 4.08, 2.78, 2.50, 7.45, 4.73, 100.00, 5.85, 2.78, 2.53, 4.09, 1.86, 2.20, 2.03, 100.00, 4.09, 1.42, 1.00, 1.00, 0.88, 1.86, 0.88, 1.02, 1.30, 100.00, 1.53, 0.59, 0.45, 0.59, 0.54, 0.38, 0.54, 0.47, 0.27, 0.32, 0.22, 0.19, 0.18, 100.00, 0.18, 0.45, 100.00, 0.04, 0.11, 0.15, 0.13, 0.07, 0.09, 0.09, 0.14, 0.07, 0.02, 0.02, 0.02, 82.58, 0.07, 0.26, 0.07, 0.07, 0.04, 0.07, 0.07, 82.58, 0.01, 0.02, 0.05, 0.08, 0.05, 1.26, 0.26, 1.04, 4.73, 0.38, 0.74, 0.28, 2.08, 2.20, 2.53, 1.39, 0.10, 1.53, 0.34, 0.31, 0.27, 0.74, 1.00, 0.59, 9.01, 0.15, 100.00, 0.71, 100.00, 3.61, 1.14, 0.28, 0.01, 100.00, 0.32, 0.93, 0.26, 2.82, 0.59, 2.20, 0.54, 2.78, 0.39, 0.35, 0.22, 2.27, 6.20, 100.00, 0.32, 2.00, 0.88, 6.06, 0.83, 1.00, 11.11, 0.59
