Game Turn, Initiator, Recipient, Action, Details, Mayhem, Visibility
1, 4, 62, Met, ,    0.0, 0
1, 62, 4, At War, Surprise,    0.0, 0
1, 62, 5, Met, ,    0.0, 0
1, 5, 62, Met, ,    0.0, 0
1, 62, 5, At War, Surprise,    0.0, 0
1, 62, 6, Met, ,    0.0, 0
1, 6, 62, Met, ,    0.0, 0
1, 62, 6, At War, Surprise,    0.0, 0
1, 62, 7, Met, ,    0.0, 0
1, 7, 62, Met, ,    0.0, 0
1, 62, 7, At War, Surprise,    0.0, 0
1, 62, 8, Met, ,    0.0, 0
1, 8, 62, Met, ,    0.0, 0
1, 62, 8, At War, Surprise,    0.0, 0
1, 62, 9, Met, ,    0.0, 0
1, 9, 62, Met, ,    0.0, 0
1, 62, 9, At War, Surprise,    0.0, 0
2, 0, 23, Met, ,    0.0, 0
2, 23, 0, Met, ,    0.0, 0
2, 0, 23, Gave Influence, ,    0.0, 0
1, 63, 0, Met, ,    0.0, 0
1, 0, 63, Met, ,    0.0, 0
1, 63, 0, At War, Surprise,    0.0, 0
1, 63, 1, Met, ,    0.0, 0
1, 1, 63, Met, ,    0.0, 0
1, 63, 1, At War, Surprise,    0.0, 0
1, 63, 2, Met, ,    0.0, 0
1, 2, 63, Met, ,    0.0, 0
1, 63, 2, At War, Surprise,    0.0, 0
1, 63, 3, Met, ,    0.0, 0
1, 3, 63, Met, ,    0.0, 0
1, 63, 3, At War, Surprise,    0.0, 0
1, 63, 4, Met, ,    0.0, 0
1, 4, 63, Met, ,    0.0, 0
1, 63, 4, At War, Surprise,    0.0, 0
1, 63, 5, Met, ,    0.0, 0
1, 5, 63, Met, ,    0.0, 0
1, 63, 5, At War, Surprise,    0.0, 0
1, 63, 6, Met, ,    0.0, 0
1, 6, 63, Met, ,    0.0, 0
1, 63, 6, At War, Surprise,    0.0, 0
1, 63, 7, Met, ,    0.0, 0
1, 7, 63, Met, ,    0.0, 0
1, 63, 7, At War, Surprise,    0.0, 0
1, 63, 8, Met, ,    0.0, 0
1, 8, 63, Met, ,    0.0, 0
1, 63, 8, At War, Surprise,    0.0, 0
1, 63, 9, Met, ,    0.0, 0
1, 9, 63, Met, ,    0.0, 0
1, 63, 9, At War, Surprise,    0.0, 0
1, 63, 10, Met, ,    0.0, 0
1, 10, 63, Met, ,    0.0, 0
1, 63, 10, At War, Surprise,    0.0, 0
1, 63, 11, Met, ,    0.0, 0
1, 11, 63, Met, ,    0.0, 0
1, 63, 11, At War, Surprise,    0.0, 0
1, 63, 12, Met, ,    0.0, 0
1, 12, 63, Met, ,    0.0, 0
1, 63, 12, At War, Surprise,    0.0, 0
1, 63, 13, Met, ,    0.0, 0
1, 13, 63, Met, ,    0.0, 0
1, 63, 13, At War, Surprise,    0.0, 0
1, 63, 14, Met, ,    0.0, 0
1, 14, 63, Met, ,    0.0, 0
1, 63, 14, At War, Surprise,    0.0, 0
1, 63, 15, Met, ,    0.0, 0
1, 15, 63, Met, ,    0.0, 0
1, 63, 15, At War, Surprise,    0.0, 0
1, 63, 16, Met, ,    0.0, 0
1, 16, 63, Met, ,    0.0, 0
1, 63, 16, At War, Surprise,    0.0, 0
1, 63, 17, Met, ,    0.0, 0
1, 17, 63, Met, ,    0.0, 0
1, 63, 17, At War, Surprise,    0.0, 0
1, 63, 18, Met, ,    0.0, 0
1, 18, 63, Met, ,    0.0, 0
1, 63, 18, At War, Surprise,    0.0, 0
1, 63, 19, Met, ,    0.0, 0
1, 19, 63, Met, ,    0.0, 0
1, 63, 19, At War, Surprise,    0.0, 0
1, 63, 20, Met, ,    0.0, 0
1, 20, 63, Met, ,    0.0, 0
1, 63, 20, At War, Surprise,    0.0, 0
1, 63, 21, Met, ,    0.0, 0
1, 21, 63, Met, ,    0.0, 0
1, 63, 21, At War, Surprise,    0.0, 0
1, 63, 22, Met, ,    0.0, 0
1, 22, 63, Met, ,    0.0, 0
1, 63, 22, At War, Surprise,    0.0, 0
1, 63, 23, Met, ,    0.0, 0
1, 23, 63, Met, ,    0.0, 0
1, 63, 23, At War, Surprise,    0.0, 0
1, 63, 24, Met, ,    0.0, 0
1, 24, 63, Met, ,    0.0, 0
1, 63, 24, At War, Surprise,    0.0, 0
1, 62, 0, Met, ,    0.0, 0
1, 0, 62, Met, ,    0.0, 0
1, 62, 0, At War, Surprise,    0.0, 0
1, 62, 1, Met, ,    0.0, 0
1, 1, 62, Met, ,    0.0, 0
1, 62, 1, At War, Surprise,    0.0, 0
1, 62, 2, Met, ,    0.0, 0
1, 2, 62, Met, ,    0.0, 0
1, 62, 2, At War, Surprise,    0.0, 0
1, 62, 3, Met, ,    0.0, 0
1, 3, 62, Met, ,    0.0, 0
1, 62, 3, At War, Surprise,    0.0, 0
1, 62, 4, Met, ,    0.0, 0
1, 4, 62, Met, ,    0.0, 0
1, 62, 4, At War, Surprise,    0.0, 0
1, 62, 5, Met, ,    0.0, 0
1, 5, 62, Met, ,    0.0, 0
1, 62, 5, At War, Surprise,    0.0, 0
1, 62, 6, Met, ,    0.0, 0
1, 6, 62, Met, ,    0.0, 0
1, 62, 6, At War, Surprise,    0.0, 0
1, 62, 7, Met, ,    0.0, 0
1, 7, 62, Met, ,    0.0, 0
1, 62, 7, At War, Surprise,    0.0, 0
1, 62, 8, Met, ,    0.0, 0
1, 8, 62, Met, ,    0.0, 0
1, 62, 8, At War, Surprise,    0.0, 0
1, 62, 9, Met, ,    0.0, 0
1, 9, 62, Met, ,    0.0, 0
1, 62, 9, At War, Surprise,    0.0, 0
1, 22, 9, Met, ,    0.0, 0
1, 9, 22, Met, ,    0.0, 0
1, 9, 22, Gave Influence, ,    0.0, 0
2, 1, 12, Met, ,    0.0, 0
2, 12, 1, Met, ,    0.0, 0
2, 1, 12, Gave Influence, ,    0.0, 0
2, 24, 9, Met, ,    0.0, 0
2, 9, 24, Met, ,    0.0, 0
2, 9, 24, Gave Influence, ,    0.0, 0
3, 3, 15, Met, ,    0.0, 0
3, 15, 3, Met, ,    0.0, 0
3, 3, 15, Gave Influence, ,    0.0, 0
3, 5, 18, Met, ,    0.0, 0
3, 18, 5, Met, ,    0.0, 0
3, 5, 18, Gave Influence, ,    0.0, 0
3, 6, 23, Met, ,    0.0, 0
3, 23, 6, Met, ,    0.0, 0
3, 6, 23, Gave Influence, ,    0.0, 0
3, 7, 16, Met, ,    0.0, 0
3, 16, 7, Met, ,    0.0, 0
3, 7, 16, Gave Influence, ,    0.0, 0
3, 8, 21, Met, ,    0.0, 0
3, 21, 8, Met, ,    0.0, 0
3, 8, 21, Gave Influence, ,    0.0, 0
3, 16, 19, Met, ,    0.5, 0
3, 19, 16, Met, ,    0.5, 0
3, 20, 8, Met, ,    1.5, 0
3, 8, 20, Met, ,    1.5, 0
3, 8, 20, Gave Influence, ,    1.5, 0
4, 4, 11, Met, ,    2.0, 0
4, 11, 4, Met, ,    2.0, 0
4, 4, 11, Gave Influence, ,    2.0, 0
4, 10, 4, Met, ,    2.0, 0
4, 4, 10, Met, ,    2.0, 0
4, 4, 10, Gave Influence, ,    2.0, 0
5, 0, 13, Met, ,    3.5, 0
5, 13, 0, Met, ,    3.5, 0
5, 0, 13, Gave Influence, ,    3.5, 0
6, 2, 10, Met, ,    5.0, 0
6, 10, 2, Met, ,    5.0, 0
7, 9, 22, Gave Influence, ,    5.0, 0
8, 1, 12, Gave Influence, ,    5.0, 0
8, 4, 2, Met, ,    5.0, 0
8, 2, 4, Met, ,    5.0, 0
8, 17, 6, Met, ,    5.0, 0
8, 6, 17, Met, ,    5.0, 0
8, 6, 17, Gave Influence, ,    5.0, 0
9, 5, 18, Gave Influence, ,    6.0, 0
9, 8, 20, Gave Influence, ,    7.5, 0
9, 9, 22, Gave Influence, ,    7.5, 0
10, 13, 14, Met, ,   10.0, 0
10, 14, 13, Met, ,   10.0, 0
12, 2, 4, Delegation, ,   13.0, 0
14, 6, 17, Gave Influence, ,   22.5, 0
16, 9, 22, Gave Influence, ,   29.5, 0
17, 0, 14, Met, ,   33.0, 0
17, 14, 0, Met, ,   33.0, 0
17, 0, 14, Gave Influence, ,   33.0, 0
17, 5, 18, Gave Influence, ,   33.0, 0
17, 19, 7, Met, ,   34.5, 0
17, 7, 19, Met, ,   34.5, 0
17, 7, 19, Gave Influence, ,   34.5, 0
18, 4, 2, Delegation, ,   34.5, 1
18, 6, 23, Gave Influence, ,   34.5, 0
19, 3, 15, Gave Influence, ,   38.0, 0
24, 4, 10, Gave Influence, ,   61.5, 0
26, 7, 16, Gave Influence, ,   73.0, 0
27, 0, 5, Met, ,   80.0, 0
27, 5, 0, Met, ,   80.0, 0
27, 0, 13, Gave Influence, ,   80.0, 0
28, 2, 11, Met, ,   86.0, 0
28, 11, 2, Met, ,   86.0, 0
31, 2, 10, Gave Influence, ,  102.0, 0
33, 5, 14, Met, ,  110.5, 0
33, 14, 5, Met, ,  110.5, 0
35, 4, 11, Gave Influence, ,  118.5, 0
37, 0, 3, Met, ,  125.0, 0
37, 3, 0, Met, ,  125.0, 0
40, 13, 5, Met, ,  146.0, 0
40, 5, 13, Met, ,  146.0, 0
43, 0, 13, Gave Influence, ,  155.5, 0
44, 2, 11, Gave Influence, ,  160.5, 0
44, 8, 6, Met, ,  161.5, 0
44, 6, 8, Met, ,  161.5, 0
45, 1, 8, Met, ,  167.0, 0
45, 8, 1, Met, ,  167.0, 0
45, 4, Team 2, Individual Declaring War on Team START, Surprise,  167.0
45, 4, 2, At War, Surprise,  167.0, 2
45, 10, Team 2, Individual Declaring War on Team START, Suzerain War,  171.0
45, 10, 2, At War, Suzerain War,  171.0, 0
45, 10, Team 2, Individual Declaring War on Team END, Suzerain War,  173.0
45, 4, Team 2, Individual Declaring War on Team END, Surprise,  173.0
46, 1, 21, Met, ,  181.0, 0
46, 21, 1, Met, ,  181.0, 0
46, 6, 9, Met, ,  189.0, 0
46, 9, 6, Met, ,  189.0, 0
47, 6, 9, Deal Proposed, 20 RESOURCE_HORSES for 0 turns from 9 to 6; 0 Open Borders for 30 turns from 6 to 9; 1 Gold for 0 turns from 6 to 9; 6 Gold for 30 turns from 6 to 9; ,  204.5, 0
47, 9, 6, Deal Closed, 20 RESOURCE_HORSES for 0 turns from 9 to 6; 0 Open Borders for 30 turns from 6 to 9; 31 Gold for 0 turns from 6 to 9; 9 Gold for 30 turns from 6 to 9; ,  204.5, 0
47, 6, 9, Deal Rejected, 20 RESOURCE_HORSES for 0 turns from 9 to 6; 0 Open Borders for 30 turns from 6 to 9; 31 Gold for 0 turns from 6 to 9; 9 Gold for 30 turns from 6 to 9; ,  204.5, 0
47, 9, 6, Deal Rejected, 20 RESOURCE_HORSES for 0 turns from 9 to 6; 0 Open Borders for 30 turns from 6 to 9; 31 Gold for 0 turns from 6 to 9; 9 Gold for 30 turns from 6 to 9; ,  204.5, 0
48, 1, 8, Delegation, ,  208.5, 0
48, 5, 11, Met, ,  216.5, 0
48, 11, 5, Met, ,  216.5, 0
51, 11, Team 4, Individual Declaring War on Team START, Suzerain War,  238.5
51, 11, 4, At War, Suzerain War,  238.5, 0
51, 10, Team 11, Individual Declaring War on Team START, Suzerain War,  240.5
51, 10, 11, Met, ,  240.5, 0
51, 11, 10, Met, ,  240.5, 0
51, 10, 11, At War, Suzerain War,  240.5, 0
51, 10, Team 11, Individual Declaring War on Team END, Suzerain War,  242.5
51, 11, Team 4, Individual Declaring War on Team END, Suzerain War,  242.5
51, 11, Team 10, Individual Declaring War on Team START, Suzerain War,  242.5
51, 11, 10, At War, Suzerain War,  242.5, 0
51, 11, Team 10, Individual Declaring War on Team END, Suzerain War,  244.5
51, 2, 5, Met, ,  244.5, 0
51, 5, 2, Met, ,  244.5, 0
51, 2, 11, Gave Influence, ,  244.5, 0
51, 5, 0, Deal Proposed, 8 Favor for 0 turns from 0 to 5; 0 Open Borders for 30 turns from 5 to 0; 1 Gold for 30 turns from 5 to 0; ,  251.0, 0
51, 6, 4, Met, ,  251.0, 0
51, 4, 6, Met, ,  251.0, 0
52, 6, 22, Met, ,  261.0, 0
52, 22, 6, Met, ,  261.0, 0
53, 2, 5, Delegation, ,  268.0, 0
53, 6, 4, Deal Proposed, 20 RESOURCE_HORSES for 0 turns from 4 to 6; 0 Open Borders for 30 turns from 6 to 4; 1 Gold for 0 turns from 6 to 4; 6 Gold for 30 turns from 6 to 4; ,  272.5, 0
53, 4, 6, Deal Closed, 20 RESOURCE_HORSES for 0 turns from 4 to 6; 0 Open Borders for 30 turns from 6 to 4; 13 Gold for 0 turns from 6 to 4; 7 Gold for 30 turns from 6 to 4; ,  272.5, 0
53, 6, 4, Deal Rejected, 20 RESOURCE_HORSES for 0 turns from 4 to 6; 0 Open Borders for 30 turns from 6 to 4; 13 Gold for 0 turns from 6 to 4; 7 Gold for 30 turns from 6 to 4; ,  272.5, 0
53, 4, 6, Deal Rejected, 20 RESOURCE_HORSES for 0 turns from 4 to 6; 0 Open Borders for 30 turns from 6 to 4; 13 Gold for 0 turns from 6 to 4; 7 Gold for 30 turns from 6 to 4; ,  272.5, 0
53, 8, 1, Delegation, ,  272.5, 0
54, 5, 2, Delegation, ,  284.0, 0
54, 6, 10, Met, ,  284.0, 0
54, 10, 6, Met, ,  284.0, 0
55, 2, 4, Deal Proposed, 0 Peace for 10 turns from 2 to 4; 0 Peace for 10 turns from 4 to 2; 7 Gold for 0 turns from 2 to 4; ,  290.0, 0
55, 2, 4, Deal Closed, 0 Peace for 10 turns from 2 to 4; 0 Peace for 10 turns from 4 to 2; 7 Gold for 0 turns from 2 to 4; ,  290.0, 0
55, 4, 2, Deal Rejected, 0 Peace for 10 turns from 2 to 4; 0 Peace for 10 turns from 4 to 2; 7 Gold for 0 turns from 2 to 4; ,  290.0, 0
55, 9, 6, Delegation, ,  294.0, 0
56, 1, 21, Gave Influence, ,  301.5, 0
56, 6, 1, Met, ,  306.0, 0
56, 1, 6, Met, ,  306.0, 0
56, 6, 2, Met, ,  306.0, 0
56, 2, 6, Met, ,  306.0, 0
56, 9, 23, Met, ,  307.5, 0
56, 23, 9, Met, ,  307.5, 0
57, 8, 20, Gave Influence, ,  316.0, 0
58, 2, 4, Deal Proposed, 0 Peace for 10 turns from 2 to 4; 0 Peace for 10 turns from 4 to 2; 7 Gold for 0 turns from 2 to 4; ,  323.5, 0
58, 2, 4, Deal Closed, 0 Peace for 10 turns from 2 to 4; 0 Peace for 10 turns from 4 to 2; 7 Gold for 0 turns from 2 to 4; ,  323.5, 0
58, 4, 2, Deal Rejected, 0 Peace for 10 turns from 2 to 4; 0 Peace for 10 turns from 4 to 2; 7 Gold for 0 turns from 2 to 4; ,  323.5, 0
58, 5, 18, Gave Influence, ,  327.0, 0
58, 5, 4, Met, ,  327.0, 0
58, 4, 5, Met, ,  327.0, 0
58, 7, 16, Gave Influence, ,  327.0, 0
59, 4, 5, Deal Proposed, 20 RESOURCE_IRON for 0 turns from 5 to 4; 0 Open Borders for 30 turns from 4 to 5; ,  335.0, 0
59, 4, 5, Deal Closed, 20 RESOURCE_IRON for 0 turns from 5 to 4; 0 Open Borders for 30 turns from 4 to 5; ,  335.0, 0
59, 5, 4, Deal Rejected, 20 RESOURCE_IRON for 0 turns from 5 to 4; 0 Open Borders for 30 turns from 4 to 5; ,  335.0, 0
59, 6, 20, Met, ,  339.5, 0
59, 20, 6, Met, ,  339.5, 0
60, 6, 1, Delegation, ,  346.0, 0
60, 6, 9, Delegation, ,  346.0, 0
60, 8, Team 21, Individual Declaring War on Team START, Surprise,  346.5
60, 8, 21, At War, Surprise,  346.5, 0
60, 20, Team 21, Individual Declaring War on Team START, Suzerain War,  350.5
60, 20, 21, Met, ,  350.5, 0
60, 21, 20, Met, ,  350.5, 0
60, 20, 21, At War, Suzerain War,  350.5, 0
60, 20, Team 21, Individual Declaring War on Team END, Suzerain War,  352.5
60, 8, Team 21, Individual Declaring War on Team END, Surprise,  352.5
60, 10, 5, Met, ,  353.5, 0
60, 5, 10, Met, ,  353.5, 0
