Game Turn, Range, Value, Seed, Type, Location
1, 1, 0, 4044572456, sync, Choosing how many prerequisites for a civic to have
1, 1, 0, 3050548289, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 2766296550, sync, Choosing how many prerequisites for a civic to have
1, 200, 53, 7264039, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 1139387860, sync, Choosing how many prerequisites for a civic to have
1, 101, 92, 1668139901, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 3916294770, sync, Choosing how many prerequisites for a civic to have
1, 2, 0, 661110467, sync, Choosing a random prerequisite for a civic to have
1, 3, 2, 1897780032, sync, Choosing how many prerequisites for a civic to have
1, 300, 103, 3817906809, sync, Choosing a random prerequisite for a civic to have
1, 201, 137, 1487682494, sync, Choosing a random prerequisite for a civic to have
1, 102, 60, 2927461407, sync, Choosing a random prerequisite for a civic to have
1, 2, 0, 2561467244, sync, Choosing a random cost for a tech to have
1, 2, 0, 7335221, sync, Choosing a random cost for a tech to have
1, 2, 1, 904680906, sync, Choosing a random cost for a tech to have
1, 2, 0, 2617262907, sync, Choosing a random cost for a tech to have
1, 2, 0, 2067450456, sync, Choosing a random cost for a tech to have
1, 2, 0, 968828849, sync, Choosing a random cost for a tech to have
1, 1, 0, 2019689622, sync, Choosing how many prerequisites for a tech to have
1, 300, 222, 3240482839, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 3183358980, sync, Choosing how many prerequisites for a tech to have
1, 201, 3, 4243426797, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 78763042, sync, Choosing how many prerequisites for a tech to have
1, 102, 74, 3802521267, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 3152841840, sync, Choosing how many prerequisites for a tech to have
1, 3, 2, 622992361, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 4080865390, sync, Choosing how many prerequisites for a tech to have
1, 3, 0, 3474305807, sync, Choosing a random prerequisite for a tech to have
1, 5, 2, 359006108, sync, Choosing how many prerequisites for a tech to have
1, 500, 467, 2130152869, sync, Choosing a random prerequisite for a tech to have
1, 401, 198, 4012754298, sync, Choosing a random prerequisite for a tech to have
1, 302, 266, 2130997547, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 3785456008, sync, Choosing how many prerequisites for a tech to have
1, 100, 47, 3422052129, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 2051194694, sync, Choosing how many prerequisites for a tech to have
1, 100, 21, 450295047, sync, Choosing a random prerequisite for a tech to have
1, 100, 50, 915973684, sync, Random Diplomatic Value
1, 100, 63, 2178600029, sync, Random Diplomatic Value
1, 100, 50, 2707130834, sync, Random Diplomatic Value
1, 100, 43, 2187582115, sync, Random Diplomatic Value
1, 100, 25, 1848897952, sync, Random Diplomatic Value
1, 100, 42, 1098699097, sync, Random Diplomatic Value
1, 100, 69, 1841590558, sync, Random Diplomatic Value
1, 100, 33, 2991554047, sync, Random Diplomatic Value
1, 100, 75, 1450608588, sync, Random Diplomatic Value
1, 100, 12, 3248499221, sync, Random Diplomatic Value
1, 100, 13, 524452138, sync, Random Diplomatic Value
1, 100, 22, 589822747, sync, Random Diplomatic Value
1, 100, 66, 946492600, sync, Random Diplomatic Value
1, 100, 97, 2842055313, sync, Random Diplomatic Value
1, 100, 99, 4208952822, sync, Random Diplomatic Value
1, 100, 38, 4265684471, sync, Random Diplomatic Value
1, 100, 58, 1640760420, sync, Random Diplomatic Value
1, 100, 22, 2525791949, sync, Random Diplomatic Value
1, 100, 76, 980814722, sync, Random Diplomatic Value
1, 100, 61, 3293622931, sync, Random Diplomatic Value
1, 100, 29, 2641822416, sync, Random Diplomatic Value
1, 100, 41, 1265091273, sync, Random Diplomatic Value
1, 100, 75, 1761435086, sync, Random Diplomatic Value
1, 100, 77, 3251234031, sync, Random Diplomatic Value
1, 100, 75, 3331423228, sync, Random Diplomatic Value
1, 100, 21, 3231761029, sync, Random Diplomatic Value
1, 100, 42, 932546778, sync, Random Diplomatic Value
1, 100, 38, 1828315403, sync, Random Diplomatic Value
1, 100, 58, 1652055016, sync, Random Diplomatic Value
1, 100, 59, 2528117249, sync, Random Diplomatic Value
1, 100, 53, 2538821798, sync, Random Diplomatic Value
1, 100, 92, 2313388775, sync, Random Diplomatic Value
1, 100, 13, 3983232660, sync, Random Diplomatic Value
1, 100, 63, 588889405, sync, Random Diplomatic Value
1, 100, 68, 2748078386, sync, Random Diplomatic Value
1, 100, 27, 2950391427, sync, Random Diplomatic Value
1, 100, 8, 1173929984, sync, Random Diplomatic Value
1, 100, 66, 359264313, sync, Random Diplomatic Value
1, 100, 55, 2858604158, sync, Random Diplomatic Value
1, 100, 38, 2363746271, sync, Random Diplomatic Value
1, 100, 43, 1663687724, sync, Random Diplomatic Value
1, 100, 35, 1878021877, sync, Random Diplomatic Value
1, 100, 1, 1515314314, sync, Random Diplomatic Value
1, 100, 25, 46736123, sync, Random Diplomatic Value
1, 100, 31, 1097764632, sync, Random Diplomatic Value
1, 100, 91, 1346137457, sync, Random Diplomatic Value
1, 100, 97, 3917035350, sync, Random Diplomatic Value
1, 100, 69, 4194104279, sync, Random Diplomatic Value
1, 100, 76, 2991162564, sync, Random Diplomatic Value
1, 100, 72, 3277418413, sync, Random Diplomatic Value
1, 100, 52, 3119084258, sync, Random Diplomatic Value
1, 100, 47, 2251486835, sync, Random Diplomatic Value
1, 100, 63, 2059151664, sync, Random Diplomatic Value
1, 100, 79, 2714393001, sync, Random Diplomatic Value
1, 100, 72, 3425688366, sync, Random Diplomatic Value
1, 100, 92, 3099363023, sync, Random Diplomatic Value
1, 100, 18, 3966937180, sync, Random Diplomatic Value
1, 100, 4, 793110373, sync, Random Diplomatic Value
1, 100, 23, 174226490, sync, Random Diplomatic Value
1, 100, 89, 1017430251, sync, Random Diplomatic Value
1, 100, 97, 3853512264, sync, Random Diplomatic Value
1, 100, 21, 4197618913, sync, Random Diplomatic Value
1, 100, 59, 938222086, sync, Random Diplomatic Value
1, 100, 89, 2559344839, sync, Random Diplomatic Value
1, 100, 21, 3824789236, sync, Random Diplomatic Value
1, 100, 7, 920821277, sync, Random Diplomatic Value
1, 100, 69, 303585426, sync, Random Diplomatic Value
1, 100, 58, 2990957155, sync, Random Diplomatic Value
1, 100, 57, 2508471904, sync, Random Diplomatic Value
1, 100, 92, 2458910489, sync, Random Diplomatic Value
1, 100, 93, 3982453726, sync, Random Diplomatic Value
1, 100, 8, 4029858239, sync, Random Diplomatic Value
1, 100, 22, 358539404, sync, Random Diplomatic Value
1, 100, 85, 974681045, sync, Random Diplomatic Value
1, 100, 7, 3681708010, sync, Random Diplomatic Value
1, 100, 74, 341555931, sync, Random Diplomatic Value
1, 100, 56, 3193928056, sync, Random Diplomatic Value
1, 100, 14, 2423879761, sync, Random Diplomatic Value
1, 100, 67, 637999286, sync, Random Diplomatic Value
1, 100, 25, 2907777463, sync, Random Diplomatic Value
1, 100, 81, 1087288612, sync, Random Diplomatic Value
1, 100, 66, 3507243149, sync, Random Diplomatic Value
1, 100, 72, 2858682946, sync, Random Diplomatic Value
1, 100, 40, 3099896403, sync, Random Diplomatic Value
1, 100, 59, 1725169552, sync, Random Diplomatic Value
1, 100, 38, 2575425673, sync, Random Diplomatic Value
1, 100, 82, 1638697102, sync, Random Diplomatic Value
1, 100, 70, 3555039407, sync, Random Diplomatic Value
1, 100, 9, 3013706940, sync, Random Diplomatic Value
1, 100, 13, 396295237, sync, Random Diplomatic Value
1, 100, 8, 569155482, sync, Random Diplomatic Value
1, 100, 78, 360517835, sync, Random Diplomatic Value
1, 100, 33, 3378524328, sync, Random Diplomatic Value
1, 100, 39, 1454905281, sync, Random Diplomatic Value
1, 100, 42, 1675959142, sync, Random Diplomatic Value
1, 100, 25, 1841950375, sync, Random Diplomatic Value
1, 100, 90, 1104916308, sync, Random Diplomatic Value
1, 100, 59, 3907874557, sync, Random Diplomatic Value
1, 100, 15, 2576844786, sync, Random Diplomatic Value
1, 100, 39, 672976451, sync, Random Diplomatic Value
1, 100, 90, 1710124224, sync, Random Diplomatic Value
1, 100, 38, 3894869497, sync, Random Diplomatic Value
1, 100, 91, 1636970814, sync, Random Diplomatic Value
1, 100, 93, 3929279391, sync, Random Diplomatic Value
1, 100, 4, 4021130476, sync, Random Diplomatic Value
1, 100, 63, 181436597, sync, Random Diplomatic Value
1, 100, 30, 2734433098, sync, Random Diplomatic Value
1, 100, 76, 1297597115, sync, Random Diplomatic Value
1, 100, 28, 3277132760, sync, Random Diplomatic Value
1, 100, 36, 1213559601, sync, Random Diplomatic Value
1, 100, 92, 1583426070, sync, Random Diplomatic Value
1, 100, 29, 3979726743, sync, Random Diplomatic Value
1, 100, 28, 1257477508, sync, Random Diplomatic Value
1, 100, 74, 1230836077, sync, Random Diplomatic Value
1, 100, 53, 3208499618, sync, Random Diplomatic Value
1, 100, 87, 2289946163, sync, Random Diplomatic Value
1, 100, 62, 3772155376, sync, Random Diplomatic Value
1, 100, 72, 2680575849, sync, Random Diplomatic Value
1, 100, 55, 3125503470, sync, Random Diplomatic Value
1, 100, 45, 2403146383, sync, Random Diplomatic Value
1, 100, 50, 1958088988, sync, Random Diplomatic Value
1, 100, 26, 2187591973, sync, Random Diplomatic Value
1, 100, 23, 1150022394, sync, Random Diplomatic Value
1, 100, 34, 989515947, sync, Random Diplomatic Value
1, 100, 53, 1470178056, sync, Random Diplomatic Value
1, 100, 93, 2289601185, sync, Random Diplomatic Value
1, 100, 4, 4011214022, sync, Random Diplomatic Value
1, 100, 85, 211012743, sync, Random Diplomatic Value
1, 100, 62, 3668535220, sync, Random Diplomatic Value
1, 100, 45, 2700226525, sync, Random Diplomatic Value
1, 100, 29, 1939990354, sync, Random Diplomatic Value
1, 100, 17, 1272359459, sync, Random Diplomatic Value
1, 100, 25, 743394080, sync, Random Diplomatic Value
1, 100, 49, 1097264345, sync, Random Diplomatic Value
1, 100, 89, 2110989982, sync, Random Diplomatic Value
1, 100, 62, 3839870335, sync, Random Diplomatic Value
1, 100, 53, 2695756108, sync, Random Diplomatic Value
1, 100, 73, 2295365013, sync, Random Diplomatic Value
1, 100, 74, 3175550634, sync, Random Diplomatic Value
1, 100, 31, 3207936667, sync, Random Diplomatic Value
1, 100, 82, 1348951608, sync, Random Diplomatic Value
1, 100, 4, 3523763729, sync, Random Diplomatic Value
1, 100, 41, 207580022, sync, Random Diplomatic Value
1, 100, 72, 1789060471, sync, Random Diplomatic Value
1, 100, 94, 3125814756, sync, Random Diplomatic Value
1, 100, 21, 4060334669, sync, Random Diplomatic Value
1, 100, 74, 936298754, sync, Random Diplomatic Value
1, 100, 82, 3184943635, sync, Random Diplomatic Value
1, 100, 11, 3554393168, sync, Random Diplomatic Value
1, 100, 69, 500153929, sync, Random Diplomatic Value
1, 100, 76, 3001316174, sync, Random Diplomatic Value
1, 100, 70, 3267038319, sync, Random Diplomatic Value
1, 100, 20, 3024637308, sync, Random Diplomatic Value
1, 100, 26, 877458949, sync, Random Diplomatic Value
1, 100, 4, 1150842458, sync, Random Diplomatic Value
1, 100, 77, 211157131, sync, Random Diplomatic Value
1, 100, 90, 3330983272, sync, Random Diplomatic Value
1, 100, 47, 3886804353, sync, Random Diplomatic Value
1, 100, 32, 2035785254, sync, Random Diplomatic Value
1, 100, 17, 1407326823, sync, Random Diplomatic Value
1, 100, 1, 771411988, sync, Random Diplomatic Value
1, 100, 39, 44622013, sync, Random Diplomatic Value
1, 100, 95, 1703900850, sync, Random Diplomatic Value
1, 100, 78, 4092327427, sync, Random Diplomatic Value
1, 100, 77, 3384727936, sync, Random Diplomatic Value
1, 100, 1, 3314011065, sync, Random Diplomatic Value
1, 100, 64, 83512318, sync, Random Diplomatic Value
1, 100, 1, 2788028255, sync, Random Diplomatic Value
1, 100, 8, 49810860, sync, Random Diplomatic Value
1, 100, 26, 382757493, sync, Random Diplomatic Value
1, 100, 59, 1118513674, sync, Random Diplomatic Value
1, 100, 31, 2540446331, sync, Random Diplomatic Value
1, 100, 1, 1370380440, sync, Random Diplomatic Value
1, 100, 46, 63584497, sync, Random Diplomatic Value
1, 100, 69, 1977212118, sync, Random Diplomatic Value
1, 100, 14, 2995809111, sync, Random Diplomatic Value
1, 100, 79, 612132420, sync, Random Diplomatic Value
1, 100, 87, 3434640173, sync, Random Diplomatic Value
1, 100, 73, 3748589666, sync, Random Diplomatic Value
1, 100, 58, 3175507443, sync, Random Diplomatic Value
1, 100, 47, 2533073584, sync, Random Diplomatic Value
1, 100, 45, 2027296041, sync, Random Diplomatic Value
1, 100, 63, 1951379630, sync, Random Diplomatic Value
1, 100, 13, 2723638863, sync, Random Diplomatic Value
1, 100, 67, 586168796, sync, Random Diplomatic Value
1, 100, 0, 2920405733, sync, Random Diplomatic Value
1, 100, 2, 6957498, sync, Random Diplomatic Value
1, 100, 21, 96903275, sync, Random Diplomatic Value
1, 100, 28, 943003592, sync, Random Diplomatic Value
1, 100, 43, 1217020001, sync, Random Diplomatic Value
1, 100, 99, 1853958022, sync, Random Diplomatic Value
1, 100, 40, 4272740423, sync, Random Diplomatic Value
1, 100, 92, 1734862964, sync, Random Diplomatic Value
1, 100, 75, 3989406109, sync, Random Diplomatic Value
1, 100, 57, 3233297938, sync, Random Diplomatic Value
1, 100, 54, 2463412707, sync, Random Diplomatic Value
1, 100, 59, 2337609696, sync, Random Diplomatic Value
1, 100, 2, 2546047641, sync, Random Diplomatic Value
1, 100, 31, 98541918, sync, Random Diplomatic Value
1, 100, 11, 1343654207, sync, Random Diplomatic Value
1, 100, 82, 488886796, sync, Random Diplomatic Value
1, 100, 34, 3548923733, sync, Random Diplomatic Value
1, 100, 12, 1468036458, sync, Random Diplomatic Value
1, 100, 62, 527727195, sync, Random Diplomatic Value
1, 100, 18, 2671903480, sync, Random Diplomatic Value
1, 100, 67, 802358225, sync, Random Diplomatic Value
1, 100, 17, 2896723510, sync, Random Diplomatic Value
1, 100, 79, 771121463, sync, Random Diplomatic Value
1, 100, 9, 3406845604, sync, Random Diplomatic Value
1, 100, 5, 389221389, sync, Random Diplomatic Value
1, 100, 52, 225855426, sync, Random Diplomatic Value
1, 100, 92, 2269501907, sync, Random Diplomatic Value
1, 100, 7, 3981326608, sync, Random Diplomatic Value
1, 100, 45, 303127561, sync, Random Diplomatic Value
1, 100, 74, 1936006670, sync, Random Diplomatic Value
1, 100, 61, 3188342831, sync, Random Diplomatic Value
1, 100, 17, 2638599740, sync, Random Diplomatic Value
1, 100, 38, 745189317, sync, Random Diplomatic Value
1, 100, 74, 1650003226, sync, Random Diplomatic Value
1, 100, 72, 3187978315, sync, Random Diplomatic Value
1, 100, 98, 3132627496, sync, Random Diplomatic Value
1, 100, 2, 4216030017, sync, Random Diplomatic Value
1, 100, 64, 107667686, sync, Random Diplomatic Value
1, 100, 36, 2750154279, sync, Random Diplomatic Value
1, 100, 49, 1586016468, sync, Random Diplomatic Value
1, 100, 38, 2114720381, sync, Random Diplomatic Value
1, 100, 21, 1651778930, sync, Random Diplomatic Value
1, 100, 16, 923327939, sync, Random Diplomatic Value
1, 100, 84, 707397184, sync, Random Diplomatic Value
1, 100, 85, 3612105081, sync, Random Diplomatic Value
1, 100, 37, 3680183998, sync, Random Diplomatic Value
1, 100, 13, 1620153119, sync, Random Diplomatic Value
1, 100, 60, 566838892, sync, Random Diplomatic Value
1, 100, 17, 2578453557, sync, Random Diplomatic Value
1, 100, 73, 740225226, sync, Random Diplomatic Value
1, 100, 98, 3167109691, sync, Random Diplomatic Value
1, 100, 14, 4248460632, sync, Random Diplomatic Value
1, 100, 55, 609926833, sync, Random Diplomatic Value
1, 100, 13, 2393067414, sync, Random Diplomatic Value
1, 100, 60, 567068439, sync, Random Diplomatic Value
1, 100, 29, 2611214084, sync, Random Diplomatic Value
1, 100, 64, 1261147373, sync, Random Diplomatic Value
1, 100, 71, 2772225826, sync, Random Diplomatic Value
1, 100, 2, 3092037043, sync, Random Diplomatic Value
1, 100, 27, 99319664, sync, Random Diplomatic Value
1, 100, 44, 1186566889, sync, Random Diplomatic Value
1, 100, 0, 1895611246, sync, Random Diplomatic Value
1, 100, 17, 30114319, sync, Random Diplomatic Value
1, 100, 65, 736174748, sync, Random Diplomatic Value
1, 100, 37, 2819585189, sync, Random Diplomatic Value
1, 100, 90, 1623007354, sync, Random Diplomatic Value
1, 100, 28, 3905433643, sync, Random Diplomatic Value
1, 100, 79, 1210829960, sync, Random Diplomatic Value
1, 100, 26, 3425154593, sync, Random Diplomatic Value
1, 100, 71, 1156368966, sync, Random Diplomatic Value
1, 100, 58, 3063391239, sync, Random Diplomatic Value
1, 100, 4, 2532649268, sync, Random Diplomatic Value
1, 100, 70, 187208541, sync, Random Diplomatic Value
1, 100, 54, 3021685970, sync, Random Diplomatic Value
1, 100, 79, 2332064163, sync, Random Diplomatic Value
1, 100, 62, 3411387552, sync, Random Diplomatic Value
1, 100, 17, 2673870937, sync, Random Diplomatic Value
1, 100, 69, 742710302, sync, Random Diplomatic Value
1, 100, 43, 2979466495, sync, Random Diplomatic Value
1, 100, 99, 1870686924, sync, Random Diplomatic Value
1, 100, 98, 4294955285, sync, Random Diplomatic Value
1, 100, 94, 4242447402, sync, Random Diplomatic Value
1, 100, 10, 4040784411, sync, Random Diplomatic Value
1, 100, 17, 464480184, sync, Random Diplomatic Value
1, 100, 77, 731474321, sync, Random Diplomatic Value
1, 100, 68, 3315749110, sync, Random Diplomatic Value
1, 100, 18, 2936773879, sync, Random Diplomatic Value
1, 100, 11, 802113380, sync, Random Diplomatic Value
1, 100, 8, 509218253, sync, Random Diplomatic Value
1, 100, 53, 370837122, sync, Random Diplomatic Value
1, 100, 48, 2295533971, sync, Random Diplomatic Value
1, 100, 43, 2079028688, sync, Random Diplomatic Value
1, 100, 47, 1879488969, sync, Random Diplomatic Value
1, 100, 70, 2045675726, sync, Random Diplomatic Value
1, 100, 1, 3046323183, sync, Random Diplomatic Value
1, 100, 83, 56237820, sync, Random Diplomatic Value
1, 100, 99, 3585616261, sync, Random Diplomatic Value
1, 100, 33, 4260258778, sync, Random Diplomatic Value
1, 100, 77, 1435049995, sync, Random Diplomatic Value
1, 100, 1, 3332910824, sync, Random Diplomatic Value
1, 100, 97, 56023297, sync, Random Diplomatic Value
1, 100, 52, 4192134054, sync, Random Diplomatic Value
1, 100, 25, 2242359783, sync, Random Diplomatic Value
1, 100, 15, 1078284692, sync, Random Diplomatic Value
1, 100, 66, 685179965, sync, Random Diplomatic Value
1, 100, 83, 2869269554, sync, Random Diplomatic Value
1, 100, 99, 3576923523, sync, Random Diplomatic Value
1, 100, 2, 4293915392, sync, Random Diplomatic Value
1, 100, 91, 120891193, sync, Random Diplomatic Value
1, 100, 47, 3950297470, sync, Random Diplomatic Value
1, 100, 56, 2032072415, sync, Random Diplomatic Value
1, 100, 34, 2430680876, sync, Random Diplomatic Value
1, 100, 7, 1496284661, sync, Random Diplomatic Value
1, 100, 34, 303527818, sync, Random Diplomatic Value
1, 100, 58, 1495671291, sync, Random Diplomatic Value
1, 100, 4, 2528715288, sync, Random Diplomatic Value
1, 100, 77, 197592177, sync, Random Diplomatic Value
1, 100, 82, 3346891350, sync, Random Diplomatic Value
1, 100, 80, 3534414551, sync, Random Diplomatic Value
1, 100, 50, 3442100164, sync, Random Diplomatic Value
1, 100, 35, 2188801709, sync, Random Diplomatic Value
1, 100, 80, 1533504994, sync, Random Diplomatic Value
1, 100, 33, 3444626803, sync, Random Diplomatic Value
1, 100, 88, 1449532464, sync, Random Diplomatic Value
1, 100, 90, 3811627177, sync, Random Diplomatic Value
1, 100, 48, 3876750894, sync, Random Diplomatic Value
1, 100, 51, 2103006671, sync, Random Diplomatic Value
1, 100, 14, 2219363164, sync, Random Diplomatic Value
1, 100, 28, 639422053, sync, Random Diplomatic Value
1, 100, 93, 1212471098, sync, Random Diplomatic Value
1, 100, 3, 4022304747, sync, Random Diplomatic Value
1, 100, 39, 138756424, sync, Random Diplomatic Value
1, 100, 75, 1695607777, sync, Random Diplomatic Value
1, 100, 23, 3239652614, sync, Random Diplomatic Value
1, 100, 21, 1007955911, sync, Random Diplomatic Value
1, 100, 65, 907094516, sync, Random Diplomatic Value
1, 100, 78, 2798609693, sync, Random Diplomatic Value
1, 100, 96, 3364557714, sync, Random Diplomatic Value
1, 100, 76, 4162453859, sync, Random Diplomatic Value
1, 100, 13, 3306221920, sync, Random Diplomatic Value
1, 100, 34, 570570265, sync, Random Diplomatic Value
1, 100, 28, 1472386782, sync, Random Diplomatic Value
1, 100, 23, 1226920127, sync, Random Diplomatic Value
1, 100, 70, 1015268236, sync, Random Diplomatic Value
1, 100, 75, 3019315925, sync, Random Diplomatic Value
1, 100, 68, 3223421674, sync, Random Diplomatic Value
1, 100, 96, 2938386907, sync, Random Diplomatic Value
1, 100, 2, 4134505592, sync, Random Diplomatic Value
1, 100, 83, 119246673, sync, Random Diplomatic Value
1, 100, 39, 3591168950, sync, Random Diplomatic Value
1, 100, 39, 1705154743, sync, Random Diplomatic Value
1, 100, 64, 1699543076, sync, Random Diplomatic Value
1, 100, 98, 2771963789, sync, Random Diplomatic Value
1, 100, 96, 4235953474, sync, Random Diplomatic Value
1, 100, 3, 4131260755, sync, Random Diplomatic Value
1, 100, 94, 141783696, sync, Random Diplomatic Value
1, 100, 36, 4050638729, sync, Random Diplomatic Value
1, 100, 34, 1564521358, sync, Random Diplomatic Value
1, 100, 23, 1494607791, sync, Random Diplomatic Value
1, 100, 77, 994387900, sync, Random Diplomatic Value
1, 100, 35, 3321193285, sync, Random Diplomatic Value
1, 100, 74, 1511553690, sync, Random Diplomatic Value
1, 100, 79, 3202568139, sync, Random Diplomatic Value
1, 100, 19, 3407545256, sync, Random Diplomatic Value
1, 100, 0, 831385281, sync, Random Diplomatic Value
1, 100, 87, 41133670, sync, Random Diplomatic Value
1, 100, 99, 3772063143, sync, Random Diplomatic Value
1, 100, 56, 4293964372, sync, Random Diplomatic Value
1, 100, 10, 2429138429, sync, Random Diplomatic Value
1, 100, 44, 436454130, sync, Random Diplomatic Value
1, 100, 51, 1915481411, sync, Random Diplomatic Value
1, 100, 99, 2211487680, sync, Random Diplomatic Value
1, 100, 98, 4278236409, sync, Random Diplomatic Value
1, 100, 6, 4228324414, sync, Random Diplomatic Value
1, 100, 33, 261495455, sync, Random Diplomatic Value
1, 100, 85, 1426061292, sync, Random Diplomatic Value
1, 100, 40, 3675170741, sync, Random Diplomatic Value
1, 100, 78, 1733606986, sync, Random Diplomatic Value
1, 100, 68, 3360407995, sync, Random Diplomatic Value
