Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
3, 10, 63, 1:1, 131073:196610, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 3, 37, 30
10, 4, 63, 1:1, 327684:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 4, 2, 22, 51
10, 6, 63, 1:1, 393221:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 3, 29, 25
10, 6, 63, 1:1, 262147:458758, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 0, 28, 30
10, 7, 63, 1:1, 327684:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 3, 29, 30
10, 21, 63, 3:1, 65536:786443, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -1, 0, 11
11, 10, 63, 1:1, 327684:393221, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -6, 15, 52
11, 14, 63, 1:1, 262147:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 38, 26
11, 16, 63, 1:1, 393221:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 0, 31, 28
11, 18, 63, 1:1, 196610:983054, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 39, 26
12, 7, 63, 1:1, 327684:851980, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 21, -3, 12, 71
12, 10, 63, 1:1, 393221:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 47, 17
12, 13, 63, 1:1, 458752:1179665, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -5, 14, 58
12, 14, 63, 1:1, 262147:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 3, 36, 25
12, 14, 63, 1:1, 196610:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 1, 25, 24
12, 21, 63, 3:1, 65536:786443, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -2, 0, 13
13, 1, 63, 1:1, 393221:1310739, UNIT_GAUL_GAESATAE, UNIT_SCOUT, 20, 10, 14, 6, 14, 71
13, 5, 63, 1:1, 131073:1900570, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 14, 6, 23, 31
13, 10, 63, 1:1, 393221:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 0, 7, 51, 16
13, 14, 63, 1:1, 196610:1114128, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, -1, 27, 30
13, 18, 63, 1:1, 196610:983054, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 3, 42, 24
13, 63, 18, 1:1, 2359328:196610, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, -8, 0, 53
14, 5, 63, 1:1, 131073:1900570, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 12, 3, 28, 30
14, 10, 63, 1:1, 196610:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 34, 22
14, 21, 63, 3:1, 65536:786443, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -3, 0, 13
14, 63, 18, 1:1, 2359328:393221, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, 3, 0, 26
14, 63, 18, 1:1, 983054:393221, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -5, 5, 31, 19
15, 3, 63, 1:1, 131073:196610, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_SPEARMAN, 28, 25, 9, 9, 25, 38
15, 3, 63, 1:1, 327684:196610, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_SPEARMAN, 28, 25, 9, 5, 19, 43
15, 10, 63, 1:1, 196610:327684, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 4, 34, 19
15, 24, 63, 1:1, 196610:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 43, 27
15, 63, 18, 1:1, 2359328:393221, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, -1, 0, 37
16, 3, 63, 1:1, 262147:262147, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_SCOUT, 28, 10, 4, 0, 11, 83
16, 3, 63, 1:1, 327684:196610, UNIT_AZTEC_EAGLE_WARRIOR, UNIT_SPEARMAN, 28, 25, 7, 1, 19, 44
16, 5, 63, 1:1, 131073:1900570, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 21, 0, 13, 62
16, 20, 63, 1:1, 196610:1572885, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 24, 44
16, 21, 63, 3:1, 65536:786443, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -4, 0, 10
16, 63, 3, 1:1, 262147:262147, UNIT_SCOUT, UNIT_AZTEC_EAGLE_WARRIOR, 10, 28, -8, 3, 93, 9
16, 63, 2, 1:1, 327684:655368, UNIT_SPEARMAN, UNIT_SLINGER, 25, 5, -7, 7, 19, 44
16, 63, 18, 1:1, 2359328:393221, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, -5, 0, 46
17, 19, 63, 1:1, 327684:2293791, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 17, 37
18, 10, 63, 1:1, 131073:3211305, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 3, 25, 42
18, 10, 63, 3:1, 65536:3211305, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 10, 0, -6, 0, 26
18, 16, 63, 1:1, 327684:2621452, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 18, 50
18, 20, 63, 1:1, 393221:1572885, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 4, 20, 36
18, 63, 10, 1:1, 2949157:393221, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -6, 20, 34
18, 63, 18, 1:1, 2359328:131073, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, 0, 0, 35
19, 5, 63, 1:1, 786432:2359328, UNIT_GALLEY, UNIT_QUADRIREME, 30, 20, 9, 0, 11, 59
19, 16, 63, 1:1, 196610:2621452, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -5, 16, 57
19, 17, 63, 1:1, 393221:1703959, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 6, 29, 28
19, 20, 63, 3:1, 65536:1572885, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 10, 0, -5, 0, 32
19, 63, 24, 1:1, 3145768:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 2, 34, 29
19, 63, 2, 1:1, 2949157:655368, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -2, 0, 20, 59
19, 63, 2, 1:1, 327684:393221, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -9, 15, 55, 15
19, 63, 18, 1:1, 2359328:131073, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, -6, -3, 0, 31
20, 5, 63, 1:1, 917511:983054, UNIT_SCOUT, UNIT_SPEARMAN, 10, 25, 9, -2, 35, 21
20, 5, 63, 1:1, 786432:2359328, UNIT_GALLEY, UNIT_QUADRIREME, 30, 20, 8, -6, 12, 68
20, 16, 63, 1:1, 196610:2555921, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, 6, 34, 25
20, 16, 63, 1:1, 262147:2555921, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 4, 39, 24
20, 17, 63, 1:1, 393221:1703959, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -3, 3, 22, 28
20, 63, 2, 1:1, 3211305:393221, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -7, 6, 79, 10
20, 63, 1, 1:1, 3407875:393221, UNIT_WARRIOR, UNIT_GAUL_GAESATAE, 20, 20, 0, 11, 43, 19
21, 1, 63, 1:1, 393221:3407875, UNIT_GAUL_GAESATAE, UNIT_WARRIOR, 20, 20, 9, -4, 19, 52
21, 2, 63, 1:1, 393221:2949157, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, -1, 26, 29
21, 7, 63, 1:1, 393221:2555921, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 1, 29, 39
21, 16, 63, 1:1, 262147:2555921, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, -3, 27, 34
21, 63, 5, 1:1, 1048591:1048586, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 0, 9, 37, 23
21, 63, 2, 1:1, 2949157:393221, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -7, 2, 39, 21
21, 63, 1, 1:1, 3407875:393221, UNIT_WARRIOR, UNIT_GAUL_GAESATAE, 20, 20, -9, 7, 67, 15
22, 5, 63, 1:1, 1048586:1048591, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 9, -4, 18, 54
22, 15, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, 0, 0, 10
22, 17, 63, 1:1, 196610:2097181, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 6, 22, 30
22, 63, 9, 1:1, 3735556:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 7, 0, 20
22, 63, 24, 1:1, 3342370:196610, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -4, 27, 39
22, 63, 5, 1:1, 1048591:1048586, UNIT_GALLEY, UNIT_GALLEY, 30, 30, -9, 5, 50, 20
22, 63, 9, 1:1, 3145768:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -1, 5, 40, 22
23, 9, 63, 1:1, 131073:3735556, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 7, 25, 39
23, 17, 63, 1:1, 196610:2097181, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 3, 27, 37
23, 63, 9, 1:1, 3735556:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, 0, 0, 20
23, 63, 9, 1:1, 3145768:589824, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -5, 7, 31, 28
24, 9, 63, 1:1, 1114125:3342370, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 4, 4, 35, 31
24, 15, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -1, 0, 9
24, 17, 63, 1:1, 196610:2097181, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -5, -1, 26, 37
24, 63, 9, 1:1, 3735556:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, -5, 0, 27
24, 63, 9, 1:1, 2883620:851978, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 7, 34, 21
24, 63, 5, 1:1, 1966107:1114123, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 0, 9, 48, 21
24, 63, 20, 1:1, 3866668:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 3, 0, 23
24, 63, 8, 1:1, 1507336:589824, UNIT_SPEARMAN, UNIT_SCOUT, 25, 10, 0, 7, 18, 33
24, 63, 0, 1:1, 4194341:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, 0, 10, 30, 28
25, 0, 63, 1:1, 131073:4194341, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 14, -3, 20, 53
25, 5, 63, 1:1, 1114123:1966107, UNIT_GALLEY, UNIT_GALLEY, 30, 30, 7, -5, 20, 41
25, 9, 63, 1:1, 1114125:3342370, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 1, 1, 25, 27
25, 9, 63, 1:1, 327684:3735556, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 6, 1, 11, 74
25, 20, 63, 1:1, 196610:3866668, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, -2, 2, 21, 39
25, 63, 9, 1:1, 3473410:851978, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 0, 2, 0, 21
25, 63, 5, 1:1, 1966107:1114123, UNIT_GALLEY, UNIT_GALLEY, 30, 30, -9, 5, 57, 17
25, 63, 20, 1:1, 3866668:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, -1, 0, 23
26, 0, 63, 1:1, 131073:4194341, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 12, -8, 14, 62
26, 9, 63, 1:1, 327684:3473410, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, 5, 16, 47
26, 9, 63, 1:1, 851978:3473410, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 2, 0, 17, 48
26, 15, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -2, 0, 13
26, 17, 63, 1:1, 131073:4063246, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, 6, 35, 27
26, 17, 63, 1:1, 262147:1638422, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 38, 18
26, 19, 63, 3:1, 65536:2293791, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 10, 0, -1, 0, 23
26, 63, 9, 1:1, 3473410:851978, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -9, -2, 0, 21
26, 63, 9, 1:1, 2883620:851978, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -1, -2, 25, 31
26, 63, 17, 1:1, 4063246:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 3, 43, 25
27, 9, 63, 1:1, 589824:3342370, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 1, -5, 0, 28
27, 9, 63, 1:1, 327684:3473410, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 1, -2, 16, 60
27, 13, 63, 1:1, 262147:4259857, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 2, -2, 14, 45
27, 17, 63, 1:1, 262147:1638422, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 1, 7, 40, 19
27, 24, 63, 1:1, 262147:2883620, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -6, 26, 39
27, 63, 9, 1:1, 3276826:327684, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, 3, 30, 33
27, 63, 9, 1:1, 2883620:327684, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, -1, 32, 20
27, 63, 17, 1:1, 1638422:262147, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -4, 2, 29, 27
28, 9, 63, 1:1, 327684:3276826, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -4, -1, 39, 24
28, 9, 63, 1:1, 1114125:3276826, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -2, -3, 27, 25
28, 13, 63, 1:1, 327684:4259857, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 2, -3, 17, 60
28, 15, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -3, 0, 13
28, 16, 63, 1:1, 393221:917517, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 20, 50
28, 63, 9, 1:1, 3276826:1114125, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, -5, 33, 12
28, 63, 17, 1:1, 1638422:393221, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -5, 13, 55, 20
28, 63, 17, 1:1, 4063246:393221, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -7, 6, 48, 16
28, 63, 15, 1:1, 4587566:131073, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, 0, 0, 35
29, 9, 63, 1:1, 1114125:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -6, -5, 20, 43
29, 15, 63, 3:1, 65536:4587566, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 20, 0, 0, 0, 17
29, 19, 63, 3:1, 65536:2293791, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 10, 0, -8, 0, 27
29, 19, 63, 1:1, 458752:2293791, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 2, -6, 15, 62
29, 24, 63, 1:1, 131073:131073, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -9, 12, 53
29, 24, 63, 1:1, 262147:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 2, 3, 40, 27
30, 1, 63, 1:1, 131073:1245202, UNIT_GAUL_GAESATAE, UNIT_SPEARMAN, 20, 25, 26, 6, 19, 59
30, 24, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -4, 0, 14
30, 63, 8, 1:1, 3866668:589824, UNIT_SLINGER, UNIT_SCOUT, 15, 10, -4, 1, 0, 34
30, 63, 8, 1:1, 1507336:589824, UNIT_SPEARMAN, UNIT_SCOUT, 25, 10, 0, -3, 12, 62
31, 1, 63, 1:1, 720902:1310739, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 11, -7, 0, 59
31, 1, 63, 1:1, 131073:1245202, UNIT_GAUL_GAESATAE, UNIT_SPEARMAN, 20, 25, 24, 0, 14, 53
31, 5, 63, 1:1, 1048586:4390927, UNIT_GALLEY, UNIT_QUADRIREME, 30, 20, 3, 2, 21, 38
31, 15, 63, 3:1, 65536:4587566, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 20, 0, -2, 0, 15
31, 16, 63, 1:1, 393221:917517, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -1, -2, 17, 49
31, 24, 63, 1:1, 393221:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 1, 33, 34
31, 24, 63, 1:1, 131073:65536, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, -3, 22, 37
31, 24, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -6, 0, 15
31, 63, 5, 1:1, 4390927:1048586, UNIT_QUADRIREME, UNIT_GALLEY, 25, 30, -4, 1, 0, 18
31, 63, 7, 1:1, 2228230:851977, UNIT_SPEARMAN, UNIT_SCOUT, 25, 10, 2, 4, 17, 56
31, 63, 7, 1:1, 4522013:851977, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 2, -2, 20, 53
31, 63, 4, 1:3, 3997728:262147, UNIT_GALLEY, UNKNOWN, 30, 10, 0, 14, 27, 42
32, 5, 63, 1:1, 1048586:4390927, UNIT_GALLEY, UNIT_QUADRIREME, 30, 20, -1, -2, 21, 52
32, 17, 63, 1:1, 327684:1703959, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, 0, 24, 39
32, 24, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -7, 0, 13
32, 63, 5, 1:1, 4390927:1048586, UNIT_QUADRIREME, UNIT_GALLEY, 25, 30, -9, -3, 0, 23
32, 63, 15, 1:1, 4587566:131073, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, -3, 3, 0, 27
33, 17, 63, 1:1, 327684:1703959, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, -3, 19, 37
33, 24, 63, 3:1, 65536:3080231, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 30, 0, -9, 0, 17
33, 63, 7, 1:1, 4522013:917504, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, 4, 25, 40
33, 63, 15, 1:3, 4587566:65536, UNIT_QUADRIREME, UNKNOWN, 25, 15, -3, 11, 0, 1
34, 8, 63, 1:1, 1048586:5111822, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 4, 5, 25, 38
34, 15, 63, 3:1, 65536:4587566, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 20, -1, -3, 0, 13
34, 16, 63, 1:1, 393221:917517, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, -10, 15, 65
34, 20, 63, 1:1, 131073:1507336, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 6, 40, 22
34, 63, 20, 1:1, 3866668:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, 9, 0, 13
34, 63, 5, 1:1, 4390927:1245197, UNIT_QUADRIREME, UNIT_GALLEY, 25, 30, -9, 4, 0, 13
35, 5, 63, 1:1, 1245197:4390927, UNIT_GALLEY, UNIT_QUADRIREME, 30, 20, 3, -9, 14, 81
35, 11, 63, 1:1, 131073:3932201, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 50, 22
35, 16, 63, 1:1, 393221:4718596, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -3, 0, 18, 33
35, 20, 63, 1:1, 262147:5111822, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -4, 16, 60
35, 63, 20, 1:1, 3866668:327684, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -4, 3, 0, 20
35, 63, 7, 1:1, 4522013:917504, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -4, 0, 22, 30
36, 6, 63, 1:1, 1376271:4456488, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 4, 0, 21, 37
36, 8, 63, 1:1, 1048586:5046289, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 7, 9, 44, 21
36, 15, 63, 3:1, 65536:4587566, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 20, -1, -4, 0, 19
36, 20, 63, 1:1, 327684:3866668, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 1, 20, 60
36, 63, 9, 1:1, 5177380:1245199, UNIT_QUADRIREME, UNIT_SLINGER, 25, 5, 0, 2, 0, 59
36, 63, 20, 1:1, 3866668:327684, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -10, -1, 0, 20
37, 6, 63, 1:1, 1376271:4456488, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, -1, 22, 29
37, 7, 63, 1:1, 196610:4718596, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 4, -3, 17, 49
37, 11, 63, 1:1, 524294:3932201, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 9, 49, 24
37, 16, 63, 3:1, 65536:4718596, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 3, 10, 0, -8, 0, 37
37, 20, 63, 1:1, 262147:5046289, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 3, 7, 37, 22
37, 63, 6, 1:1, 5767183:327684, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 9, 34, 25
37, 63, 9, 1:1, 5177380:1245199, UNIT_QUADRIREME, UNIT_SLINGER, 25, 5, 0, -2, 0, 84
37, 63, 20, 1:1, 3866668:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -10, 9, 0, 9
37, 63, 6, 1:3, 3670028:65536, UNIT_GALLEY, UNKNOWN, 30, 10, 0, 12, 18, 38
38, 6, 63, 1:1, 327684:5767183, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 2, 0, 31, 28
38, 8, 63, 1:1, 262147:5046289, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 5, 29, 33
38, 9, 63, 1:1, 983052:3604501, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 9, 6, 37, 25
38, 63, 6, 1:1, 5767183:327684, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -4, 3, 46, 26
38, 63, 9, 1:1, 5177380:917515, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, 4, 0, 36
38, 63, 20, 1:1, 3866668:196610, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -10, 9, 0, 10
38, 63, 5, 1:1, 5439522:1245197, UNIT_QUADRIREME, UNIT_GALLEY, 25, 30, 0, 1, 0, 19
38, 63, 7, 1:1, 4522013:917504, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -7, 3, 29, 26
39, 5, 63, 1:1, 1245197:5439522, UNIT_GALLEY, UNIT_QUADRIREME, 30, 20, -1, 3, 26, 41
39, 6, 63, 1:1, 196610:6029360, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 6, 3, 16, 47
39, 6, 63, 1:1, 1376271:4456488, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 11, -7, 12, 63
39, 8, 63, 1:1, 262147:5046289, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 6, 1, 28, 27
39, 11, 63, 1:1, 262147:3932201, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 5, 4, 29, 29
39, 63, 8, 1:1, 5111822:851976, UNIT_SCOUT, UNIT_SCOUT, 10, 10, -10, 7, 67, 12
39, 63, 9, 1:1, 5177380:917515, UNIT_QUADRIREME, UNIT_WARRIOR, 25, 20, 0, 1, 0, 36
